route_id,origin_warehouse,origin_airport,destination_warehouse,destination_airport,corridor,notes
R01,NYC_W,EWR,LAX_W,LAX,North America,US transcontinental
R02,NYC_W,EWR,RTM_W,AMS,North America-Europe,Transatlantic to EU hub
R03,CHI_W,ORD,DXB_W,DXB,North America-Middle East,Hub-to-hub intercontinental
R04,LAX_W,LAX,AKL_W,AKL,Pacific-Oceania,Long-haul Pacific
R05,SAO_W,GRU,RTM_W,AMS,South America-Europe,Brazil to EU gateway
R06,PAN_W,PTY,NYC_W,EWR,Central America-North America,Gateway to US east coast
R07,IST_W,IST,SHA_W,PVG,Europe-Asia,Turkey to East China
R08,DEL_W,DEL,SIN_W,SIN,South Asia-Southeast Asia,Major Asian trade lane
R09,SYD_W,SYD,SZX_W,SZX,Oceania-Greater China,Australia to South China
R10,JNB_W,JNB,DXB_W,DXB,Africa-Middle East,Africa to Gulf hub
R11,DUI_W,DUS,RTM_W,AMS,Western Europe,Rhine-Ruhr to Benelux hub
R12,CAS_W,CMN,RTM_W,AMS,North Africa-Europe,Casablanca to Rotterdam/Amsterdam gateway
R13,BOM_W,BOM,DXB_W,DXB,South Asia-Middle East,India to Gulf hub
R14,BKK_W,BKK,SIN_W,SIN,Southeast Asia,Bangkok to Singapore hub
R15,TYO_W,NRT,SZX_W,SZX,East Asia,Tokyo to South China
